py	relr
0.0	1.00
2.6	1.00
5.3	0.29
11.6	0.25
16.0	0.28
20.4	0.58
23.0	0.48
28.4	0.61
33.9	0.76
37.2	0.89
40.4	0.29
48.6	0.36
55.8	0.30
60.0	0.11
65.5	0.10
70.6	0.03
83.5	0.07
85.8	0.01
89.3	0.01
93.5	0.02
99.6	0.03
112.0	0.02
125.0	0.25
130.0	0.14
136.0	0.21
140.0	0.17
145.5	0.07
151.0	0.02
156.0	0.01
161.0	0.01
165.0	0.08
168.0	0.04
172.0	0.04
176.0	0.01
183.0	0.01
190.0	0.01
197.0	0.06
201.6	0.35
204.0	0.16
228.0	0.38
235.0	0.21
241.0	0.39
245.0	0.51
251.0	0.04
270.6	0.06
284.4	0.08
299.0	0.18
315.0	0.06
326.4	0.02
345.3	0.02
359.2	0.01
374.5	0.01
385.3	0.01
391.8	0.02
397.5	0.01
407.0	0.07
411.2	0.07
416.0	0.07
418.7	0.01
422.9	0.01
428.2	0.01
443.7	0.01
449.0	0.01
460.9	0.01
464.0	0.01
471.8	0.01
478.6	0.01
488.3	0.01
501.0	0.01
513.0	0.01
524.0	0.01
530.0	0.01
