py	relr
0.0	0.25
2.6	0.25
5.3	0.12
11.6	0.23
16.0	0.17
20.4	0.17
23.0	0.05
28.4	0.13
33.9	0.18
37.2	0.22
40.4	0.12
48.6	0.19
55.8	0.22
60.0	0.07
65.5	0.13
70.6	0.14
83.5	1.00
85.8	0.74
89.3	0.66
93.5	0.47
99.6	0.16
112.0	0.11
125.0	0.24
130.0	0.17
136.0	0.24
140.0	0.14
145.5	0.28
151.0	0.45
156.0	0.52
161.0	0.53
165.0	0.80
168.0	0.60
172.0	0.45
176.0	0.35
183.0	0.37
190.0	0.34
197.0	0.48
201.6	0.60
204.0	0.00
228.0	0.09
235.0	0.18
241.0	0.19
245.0	0.00
251.0	0.01
270.6	0.01
284.4	0.01
299.0	0.06
315.0	0.09
326.4	0.07
345.3	0.06
359.2	0.04
374.5	0.06
385.3	0.07
391.8	0.11
397.5	0.06
407.0	0.11
411.2	0.10
416.0	0.11
418.7	0.18
422.9	0.15
428.2	0.05
443.7	0.10
449.0	0.06
460.9	0.20
464.0	0.09
471.8	0.12
478.6	0.04
488.3	0.01
501.0	0.02
513.0	0.02
524.0	0.03
530.0	0.03
