py	relr
0.0	1.00
2.6	1.00
5.3	0.10
11.6	0.17
16.0	0.07
20.4	0.29
23.0	0.03
28.4	0.03
33.9	0.05
37.2	0.04
40.4	0.02
48.6	0.02
55.8	0.04
60.0	0.31
65.5	0.24
70.6	0.01
83.5	0.03
85.8	0.02
89.3	0.03
93.5	0.11
99.6	0.18
112.0	0.08
125.0	0.10
130.0	0.08
136.0	0.12
140.0	0.29
145.5	0.08
151.0	0.01
156.0	0.25
161.0	0.04
165.0	0.01
168.0	0.01
172.0	0.05
176.0	0.01
183.0	0.01
190.0	0.00
197.0	0.13
201.6	0.17
204.0	0.00
228.0	0.01
235.0	0.03
241.0	0.10
245.0	0.12
251.0	0.03
270.6	0.06
284.4	0.07
299.0	0.02
315.0	0.05
326.4	0.03
345.3	0.04
359.2	0.04
374.5	0.05
385.3	0.02
391.8	0.02
397.5	0.01
407.0	0.07
411.2	0.05
416.0	0.04
418.7	0.01
422.9	0.01
428.2	0.01
443.7	0.01
449.0	0.01
460.9	0.01
464.0	0.01
471.8	0.01
478.6	0.01
488.3	0.01
501.0	0.01
513.0	0.01
524.0	0.01
530.0	0.01
