py	relr
0.0	0.25
2.6	0.25
5.3	0.15
11.6	0.24
16.0	0.22
20.4	0.36
23.0	0.05
28.4	0.05
33.9	0.34
37.2	0.21
40.4	0.07
48.6	0.16
55.8	0.09
60.0	0.09
65.5	0.30
70.6	0.07
83.5	0.41
85.8	0.08
89.3	0.16
93.5	0.44
99.6	0.65
112.0	0.54
125.0	0.32
130.0	0.24
136.0	0.45
140.0	1.00
145.5	0.17
151.0	0.04
156.0	0.46
161.0	0.00
165.0	0.00
168.0	0.00
172.0	0.05
176.0	0.00
183.0	0.00
190.0	0.00
197.0	0.08
201.6	0.04
204.0	0.00
228.0	0.00
235.0	0.06
241.0	0.07
245.0	0.06
251.0	0.11
270.6	0.02
284.4	0.01
299.0	0.05
315.0	0.06
326.4	0.07
345.3	0.12
359.2	0.13
374.5	0.15
385.3	0.15
391.8	0.12
397.5	0.02
407.0	0.16
411.2	0.20
416.0	0.11
418.7	0.05
422.9	0.07
428.2	0.07
443.7	0.16
449.0	0.03
460.9	0.18
464.0	0.10
471.8	0.31
478.6	0.27
488.3	0.16
501.0	0.34
513.0	0.15
524.0	0.05
530.0	0.57
