py	relr
0.0	0.81
2.6	0.81
5.3	0.28
11.6	0.36
16.0	0.32
20.4	0.49
23.0	0.32
28.4	0.47
33.9	0.61
37.2	0.72
40.4	0.28
48.6	0.39
55.8	0.38
60.0	0.13
65.5	0.18
70.6	0.15
83.5	1.00
85.8	0.72
89.3	0.64
93.5	0.46
99.6	0.17
112.0	0.12
125.0	0.37
130.0	0.24
136.0	0.35
140.0	0.24
145.5	0.31
151.0	0.45
156.0	0.50
161.0	0.51
165.0	0.81
168.0	0.60
172.0	0.45
176.0	0.34
183.0	0.35
190.0	0.33
197.0	0.49
201.6	0.78
204.0	0.10
228.0	0.30
235.0	0.29
241.0	0.40
245.0	0.29
251.0	0.03
270.6	0.04
284.4	0.04
299.0	0.16
315.0	0.12
326.4	0.08
345.3	0.07
359.2	0.04
374.5	0.06
385.3	0.08
391.8	0.11
397.5	0.07
407.0	0.15
411.2	0.14
416.0	0.15
418.7	0.17
422.9	0.14
428.2	0.05
443.7	0.10
449.0	0.06
460.9	0.19
464.0	0.08
471.8	0.11
478.6	0.04
488.3	0.02
501.0	0.02
513.0	0.02
524.0	0.03
530.0	0.03
