py	relr
0.0	1.00
2.6	1.00
5.3	0.14
11.6	0.24
16.0	0.14
20.4	0.39
23.0	0.04
28.4	0.05
33.9	0.16
37.2	0.11
40.4	0.04
48.6	0.08
55.8	0.07
60.0	0.31
65.5	0.32
70.6	0.03
83.5	0.17
85.8	0.05
89.3	0.08
93.5	0.24
99.6	0.38
112.0	0.26
125.0	0.20
130.0	0.15
136.0	0.26
140.0	0.60
145.5	0.13
151.0	0.02
156.0	0.38
161.0	0.04
165.0	0.01
168.0	0.01
172.0	0.06
176.0	0.03
183.0	0.00
190.0	0.00
197.0	0.15
201.6	0.17
204.0	0.00
228.0	0.01
235.0	0.05
241.0	0.11
245.0	0.16
251.0	0.07
270.6	0.07
284.4	0.13
299.0	0.04
315.0	0.06
326.4	0.05
345.3	0.08
359.2	0.08
374.5	0.10
385.3	0.06
391.8	0.06
397.5	0.01
407.0	0.11
411.2	0.11
416.0	0.07
418.7	0.02
422.9	0.03
428.2	0.03
443.7	0.05
449.0	0.01
460.9	0.08
464.0	0.03
471.8	0.11
478.6	0.09
488.3	0.06
501.0	0.12
513.0	0.06
524.0	0.02
530.0	0.21
